_id,Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
1,1,2017-01-04T00:00:00,Enero,Croacia,No responde,Extranjero,desconocido,Europa,Masculino,50.0,Más de 45 años,Cultural,eco-turismo,Otro,Croata,Hotel,desconocido,Aéreo,2.0,2 - 3 Noches
2,2,2017-01-04T00:00:00,Enero,Croacia,No responde,Extranjero,desconocido,Europa,Femenino,53.0,Más de 45 años,Cultural,eco-turismo,Otro,Croata,Hotel,desconocido,Aéreo,2.0,2 - 3 Noches
3,3,2017-01-04T00:00:00,Enero,Estados Unidos,No responde,Extranjero,desconocido,Norteamerica,Masculino,64.0,Más de 45 años,Turismo rural,desconocido,Inglés,desconocido,Vivienda familiar o amigos,desconocido,Aéreo,60.0,Más de 10 noches
4,4,2017-01-05T00:00:00,Enero,Holanda,No responde,Extranjero,desconocido,Europa,Masculino,28.0,21 - 45 años,Cultural,eco-turismo,Otro,Neerlandes,Hotel,desconocido,Aéreo,5.0,4 - 6 Noches
5,5,2017-01-05T00:00:00,Enero,Colombia,Tocaima,Nacional,Centro,desconocido,Femenino,20.0,0-20 años,Cultural,eco-turismo,Español,desconocido,Hotel,desconocido,Terrestre particular,5.0,4 - 6 Noches
6,6,2017-01-05T00:00:00,Enero,Colombia,Tocaima,Nacional,Centro,desconocido,Masculino,26.0,21 - 45 años,Cultural,eco-turismo,Español,desconocido,Hotel,desconocido,Terrestre particular,5.0,4 - 6 Noches
7,7,2017-01-05T00:00:00,Enero,Colombia,Meta,Nacional,Oriente,desconocido,Masculino,31.0,21 - 45 años,Recreacional o vacacional,desconocido,Español,desconocido,Hostal,desconocido,Terrestre particular,4.0,4 - 6 Noches
8,8,2017-01-05T00:00:00,Enero,Colombia,Tolima,Nacional,Centro,desconocido,Femenino,28.0,21 - 45 años,Cultural,eco-turismo,Español,desconocido,Vivienda familiar o amigos,desconocido,Terrestre particular,4.0,4 - 6 Noches
9,9,2017-01-05T00:00:00,Enero,Colombia,San Andres,Nacional,Norte,desconocido,Masculino,29.0,21 - 45 años,Recreacional o vacacional,desconocido,Español,desconocido,Vivienda familiar o amigos,desconocido,Terrestre público,12.0,Más de 10 noches
10,10,2017-01-05T00:00:00,Enero,Colombia,San Andres,Nacional,Norte,desconocido,Femenino,26.0,21 - 45 años,Cultural,eco-turismo,Español,desconocido,Hotel,desconocido,Terrestre público,12.0,Más de 10 noches
11,11,2017-01-05T00:00:00,Enero,Taiwan,No responde,Extranjero,desconocido,Asia,Masculino,55.0,Más de 45 años,Cultural,eco-turismo,Otro,Mandarin,Hostal,desconocido,Aéreo,5.0,4 - 6 Noches
12,12,2017-01-05T00:00:00,Enero,Perú,Lima,Extranjero,desconocido,America Latina,Masculino,25.0,21 - 45 años,Cultural,eco-turismo,Español,desconocido,Hostal,desconocido,Terrestre público,3.0,2 - 3 Noches
13,13,2017-01-05T00:00:00,Enero,Argentina,Tucuman,Extranjero,desconocido,America Latina,Femenino,29.0,21 - 45 años,Recreacional o vacacional,desconocido,Español,desconocido,Vivienda familiar o amigos,desconocido,Aéreo,3.0,2 - 3 Noches
14,14,2017-01-05T00:00:00,Enero,Argentina,Tucuman,Extranjero,desconocido,America Latina,Masculino,29.0,21 - 45 años,Recreacional o vacacional,desconocido,Español,desconocido,Vivienda familiar o amigos,desconocido,Aéreo,3.0,2 - 3 Noches
